Yr,Mo,Da,Time,Group Size,Toby?,Latitude,Longitude,Full Yr,Full Mo,Full Da,Pre Time,Pre Height,Post Time,Post Height
2020,10,11,7.566666667,1,T,"21°28'15"" N","157°49'8"" W",2020,10,1,3.433333333,0.3,11.15,2.4
2020,10,14,6.6,3,T,"21°28'20"" N","157°49'10"" W",2020,10,1,6.55,0.1,12.75,2.5
2020,10,14,6.6,1,T,"21°28'11"" N","157°49'10"" W",2020,10,1,6.55,0.1,12.75,2.5
2020,10,15,6.783333333,2,T,"21°28'12"" N","157°49'9"" W",2020,10,1,1.15,2.1,7.383333333,0.2
2020,10,15,6.783333333,1,T,"21°28'22"" N","157°49'11"" W",2020,10,1,1.15,2.1,7.383333333,0.2
2020,10,17,7.3,1,T,"21°28'29"" N ","157°49'12"" W",2020,10,1,2.7,2.6,9.033333333,0.5
2020,10,22,7.216666667,2,T,"21°28'10"" N","157°49'18"" W",2020,10,1,-0.7833333333,0.1,8.2,2.3
2020,10,24,16.13333333,3,T,"21°28'27"" N","157°49'12"" W",2020,10,1,10.55,2.3,18.6,0.6
2020,10,24,16.13333333,2,T,"21°28'40"" N","157°49'30"" W",2020,10,1,10.55,2.3,18.6,0.6
2020,10,24,16.13333333,1,T,"21°28'14"" N","157°49'16"" W",2020,10,1,10.55,2.3,18.6,0.6
2020,10,25,8.433333333,1,T,"21°28'48"" N","157°49'34"" W",2020,10,1,4.166666667,0.5,11.23333333,2.3
2020,10,31,6.833333333,1,T,"21°28'40"" N","157°49'32"" W",2020,10,31,2.3,2.4,8.6,0.7
2020,11,1,8.533333333,1,T,"21°28'34"" N","157°49'21"" W",2020,10,31,2.833333333,2.5,9.233333333,0.8
2020,11,5,6.7,3,T,"21°28'15"" N","157°49'8"" W",2020,10,31,5.7,2.3,22.25,0
2020,11,5,6.7,1,T,"21°28'11"" N","157°49'11"" W",2020,10,31,5.7,2.3,22.25,0
